"cohort_month","month_number","cohort_size","retained_customers","retention_pct"
"2017-11-01 00:00:00",7,7060,13,0.2
"2017-11-01 00:00:00",8,7060,9,0.1
"2017-11-01 00:00:00",9,7060,4,0.1
"2017-12-01 00:00:00",0,5338,5338,100.0
"2017-12-01 00:00:00",1,5338,11,0.2
"2017-12-01 00:00:00",2,5338,15,0.3
"2017-12-01 00:00:00",3,5338,18,0.3
"2017-12-01 00:00:00",4,5338,14,0.3
"2017-12-01 00:00:00",5,5338,11,0.2
"2017-12-01 00:00:00",6,5338,9,0.2
"2017-12-01 00:00:00",7,5338,1,0.0
"2017-12-01 00:00:00",8,5338,10,0.2
"2018-01-01 00:00:00",0,6842,6842,100.0
"2018-01-01 00:00:00",1,6842,23,0.3
"2018-01-01 00:00:00",2,6842,25,0.4
"2018-01-01 00:00:00",3,6842,20,0.3
"2018-01-01 00:00:00",4,6842,20,0.3
"2018-01-01 00:00:00",5,6842,11,0.2
"2018-01-01 00:00:00",6,6842,12,0.2
"2018-01-01 00:00:00",7,6842,16,0.2
"2018-02-01 00:00:00",0,6288,6288,100.0
"2018-02-01 00:00:00",1,6288,22,0.3
"2018-02-01 00:00:00",2,6288,25,0.4
"2018-02-01 00:00:00",3,6288,19,0.3
"2018-02-01 00:00:00",4,6288,16,0.3
"2018-02-01 00:00:00",5,6288,14,0.2
"2018-02-01 00:00:00",6,6288,13,0.2
"2018-03-01 00:00:00",0,6774,6774,100.0
"2018-03-01 00:00:00",1,6774,27,0.4
"2018-03-01 00:00:00",2,6774,20,0.3
"2018-03-01 00:00:00",3,6774,20,0.3
"2018-03-01 00:00:00",4,6774,8,0.1
"2018-03-01 00:00:00",5,6774,8,0.1
"2018-04-01 00:00:00",0,6582,6582,100.0
"2018-04-01 00:00:00",1,6582,39,0.6
"2018-04-01 00:00:00",2,6582,20,0.3
"2018-04-01 00:00:00",3,6582,16,0.2
"2018-04-01 00:00:00",4,6582,9,0.1
"2018-05-01 00:00:00",0,6506,6506,100.0
"2018-05-01 00:00:00",1,6506,34,0.5
"2018-05-01 00:00:00",2,6506,17,0.3
"2018-05-01 00:00:00",3,6506,12,0.2
"2018-06-01 00:00:00",0,5878,5878,100.0
"2018-06-01 00:00:00",1,5878,25,0.4
"2018-06-01 00:00:00",2,5878,16,0.3
"2018-07-01 00:00:00",0,5949,5949,100.0
"2018-07-01 00:00:00",1,5949,31,0.5
"2018-08-01 00:00:00",0,6144,6144,100.0
